sample_id,label,category,relative_path,original_path,extension
cv_00001,cv,HEALTHCARE,raw/cv/HEALTHCARE/cv_00001.pdf,C:\Users\YassineSBOUI\Downloads\CV\HEALTHCARE\23944036.pdf,.pdf
cv_00002,cv,APPAREL,raw/cv/APPAREL/cv_00002.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\27549075.pdf,.pdf
cv_00003,cv,FITNESS,raw/cv/FITNESS/cv_00003.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\24905947.pdf,.pdf
cv_00004,cv,SALES,raw/cv/SALES/cv_00004.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\71772815.pdf,.pdf
cv_00005,cv,FINANCE,raw/cv/FINANCE/cv_00005.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\26961846.pdf,.pdf
cv_00006,cv,ADVOCATE,raw/cv/ADVOCATE/cv_00006.pdf,C:\Users\YassineSBOUI\Downloads\CV\ADVOCATE\47133747.pdf,.pdf
cv_00007,cv,FINANCE,raw/cv/FINANCE/cv_00007.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\20275356.pdf,.pdf
cv_00008,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00008.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\15233524.pdf,.pdf
cv_00009,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00009.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\77576845.pdf,.pdf
cv_00010,cv,APPAREL,raw/cv/APPAREL/cv_00010.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\91026230.pdf,.pdf
cv_00011,cv,AVIATION,raw/cv/AVIATION/cv_00011.pdf,C:\Users\YassineSBOUI\Downloads\CV\AVIATION\92283635.pdf,.pdf
cv_00012,cv,FITNESS,raw/cv/FITNESS/cv_00012.pdf,C:\Users\YassineSBOUI\Downloads\CV\FITNESS\19774173.pdf,.pdf
cv_00013,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00013.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\67406885.pdf,.pdf
cv_00014,cv,FINANCE,raw/cv/FINANCE/cv_00014.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\70541112.pdf,.pdf
cv_00015,cv,INFORMATION-TECHNOLOGY,raw/cv/INFORMATION-TECHNOLOGY/cv_00015.pdf,C:\Users\YassineSBOUI\Downloads\CV\INFORMATION-TECHNOLOGY\12334140.pdf,.pdf
cv_00016,cv,HR,raw/cv/HR/cv_00016.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\18422164.pdf,.pdf
cv_00017,cv,SALES,raw/cv/SALES/cv_00017.pdf,C:\Users\YassineSBOUI\Downloads\CV\SALES\14358578.pdf,.pdf
cv_00018,cv,APPAREL,raw/cv/APPAREL/cv_00018.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\50324968.pdf,.pdf
cv_00019,cv,APPAREL,raw/cv/APPAREL/cv_00019.pdf,C:\Users\YassineSBOUI\Downloads\CV\APPAREL\20905088.pdf,.pdf
cv_00020,cv,BANKING,raw/cv/BANKING/cv_00020.pdf,C:\Users\YassineSBOUI\Downloads\CV\BANKING\33872500.pdf,.pdf
cv_00021,cv,BUSINESS-DEVELOPMENT,raw/cv/BUSINESS-DEVELOPMENT/cv_00021.pdf,C:\Users\YassineSBOUI\Downloads\CV\BUSINESS-DEVELOPMENT\18757174.pdf,.pdf
cv_00022,cv,HR,raw/cv/HR/cv_00022.pdf,C:\Users\YassineSBOUI\Downloads\CV\HR\22323967.pdf,.pdf
cv_00023,cv,FINANCE,raw/cv/FINANCE/cv_00023.pdf,C:\Users\YassineSBOUI\Downloads\CV\FINANCE\28973180.pdf,.pdf
cv_00024,cv,CONSULTANT,raw/cv/CONSULTANT/cv_00024.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSULTANT\43378989.pdf,.pdf
cv_00025,cv,AVIATION,raw/cv/AVIATION/cv_00025.pdf,C:\Users\YassineSBOUI\Downloads\CV\AVIATION\87826037.pdf,.pdf
cv_00026,cv,CONSTRUCTION,raw/cv/CONSTRUCTION/cv_00026.pdf,C:\Users\YassineSBOUI\Downloads\CV\CONSTRUCTION\12693146.pdf,.pdf
cv_00027,cv,BPO,raw/cv/BPO/cv_00027.pdf,C:\Users\YassineSBOUI\Downloads\CV\BPO\13964744.pdf,.pdf
