FromTable,FromColumn,ToTable,ToColumn,Cardinality,Direction
fact.job_posting,date_key,dim.date,date_key,Many to one,Single
fact.job_posting,company_key,dim.company,company_key,Many to one,Single
fact.job_posting,location_key,dim.location,location_key,Many to one,Single
fact.job_posting,job_category_key,dim.job_category,job_category_key,Many to one,Single
fact.job_posting,portal_key,dim.job_portal,portal_key,Many to one,Single
fact.job_posting,salary_rate_key,dim.salary_rate,salary_rate_key,Many to one,Single
bridge.job_skill,job_posting_key,fact.job_posting,job_posting_key,Many to one,Single
bridge.job_skill,skill_key,dim.skill,skill_key,Many to one,Single
bridge.job_schedule,job_posting_key,fact.job_posting,job_posting_key,Many to one,Single
bridge.job_schedule,schedule_type_key,dim.schedule_type,schedule_type_key,Many to one,Single
